="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="",="",="(3.070)",="",="",="(3.011)",="",="",="(3.011)",="",="",="(0.676)",="",="",="(0.661)"
="pre_-3 # National Health and Medical Rese",="",="",="0.685",="",="",="0.634",="",="",="0.634",="",="",="0.647",="",="",="0.685"
="",="",="",="(3.652)",="",="",="(3.582)",="",="",="(3.582)",="",="",="(2.083)",="",="",="(2.220)"
="pre_-3 # Wellcome Trust",="",="",="0.574",="",="",="0.083",="",="",="0.083",="",="",="0.202",="",="",="0.574"
="",="",="",="(6.214)",="",="",="(6.095)",="",="",="(6.095)",="",="",="(0.958)",="",="",="(1.011)"
="pre_-4 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-4 # INCa/INSERM/DGOS",="",="",="0.767",="",="",="0.797",="",="",="0.797",="",="",="0.790",="",="",="0.767"
="",="",="",="(4.077)",="",="",="(3.999)",="",="",="(3.999)",="",="",="(0.734)",="",="",="(0.794)"
="pre_-4 # National Cancer Institute",="",="",="0.468",="",="",="0.466",="",="",="0.466",="",="",="0.467",="",="",="0.468"
="",="",="",="(3.070)",="",="",="(3.011)",="",="",="(3.011)",="",="",="(0.512)",="",="",="(0.578)"
="pre_-4 # National Health and Medical Rese",="",="",="-0.234",="",="",="-0.259",="",="",="-0.259",="",="",="-0.253",="",="",="-0.234"
="",="",="",="(3.652)",="",="",="(3.582)",="",="",="(3.582)",="",="",="(2.073)",="",="",="(2.146)"
="pre_-4 # Wellcome Trust",="",="",="-0.054",="",="",="-0.299",="",="",="-0.299",="",="",="-0.239",="",="",="-0.054"
="",="",="",="(6.214)",="",="",="(6.095)",="",="",="(6.095)",="",="",="(0.871)",="",="",="(0.931)"
="pre_-5 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # INCa/INSERM/DGOS",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # National Cancer Institute",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # National Health and Medical Rese",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # Wellcome Trust",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_0 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_0 # INCa/INSERM/DGOS",="",="",="7.251*",="",="",="7.402*",="",="",="7.402*",="",="",="7.365***",="",="",="7.251***"
="",="",="",="(4.077)",="",="",="(3.999)",="",="",="(3.999)",="",="",="(2.031)",="",="",="(1.895)"
="pre_0 # National Cancer Institute",="",="",="1.350",="",="",="1.339",="",="",="1.339",="",="",="1.342",="",="",="1.350"
="",="",="",="(3.070)",="",="",="(3.011)",="",="",="(3.011)",="",="",="(1.473)",="",="",="(1.439)"
="pre_0 # National Health and Medical Rese",="",="",="1.013",="",="",="0.886",="",="",="0.886",="",="",="0.916",="",="",="1.013"
="",="",="",="(3.652)",="",="",="(3.582)",="",="",="(3.582)",="",="",="(2.332)",="",="",="(2.263)"
="pre_0 # Wellcome Trust",="",="",="2.285",="",="",="1.059",="",="",="1.059",="",="",="1.358",="",="",="2.285"
="",="",="",="(6.214)",="",="",="(6.095)",="",="",="(6.095)",="",="",="(2.691)",="",="",="(2.653)"
="rsr_career_age",="",="",="",="2.178***",="2.147***",="2.095***",="2.178***",="2.147***",="2.095***",="1.963***",="1.908***",="1.819***",="",="",=""
="",="",="",="",="(0.042)",="(0.042)",="(0.043)",="(0.042)",="(0.042)",="(0.043)",="(0.099)",="(0.098)",="(0.099)",="",="",=""
="rsr_career_age_2",="",="",="",="-0.031***",="-0.031***",="-0.030***",="-0.031***",="-0.031***",="-0.030***",="-0.024***",="-0.024***",="-0.023***",="",="",=""
="",="",="",="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.003)",="(0.003)",="(0.003)",="",="",=""
="F",="",="",="",="-2.197***",="-2.185***",="-2.189***",="-2.197***",="-2.185***",="-2.189***",="-1.744",="-1.726",="-1.733",="",="",=""
="",="",="",="",="(0.511)",="(0.510)",="(0.509)",="(0.511)",="(0.510)",="(0.509)",="(1.365)",="(1.367)",="(1.369)",="",="",=""
="M",="",="",="",="2.411***",="2.575***",="2.655***",="2.411***",="2.575***",="2.655***",="2.480*",="2.730**",="2.863**",="",="",=""
="",="",="",="",="(0.474)",="(0.473)",="(0.473)",="(0.474)",="(0.473)",="(0.473)",="(1.281)",="(1.280)",="(1.280)",="",="",=""
="UNKNOWN",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",=""
="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",=""
="Constant",="17.430***",="17.430***",="12.359***",="-3.166***",="-2.835***",="-4.040*",="-3.166***",="-2.835***",="-4.040*",="-5.932**",="-5.451**",="-6.694**",="22.540***",="22.540***",="16.430***"
="",="(0.893)",="(0.890)",="(2.087)",="(1.007)",="(1.005)",="(2.102)",="(1.007)",="(1.005)",="(2.102)",="(2.777)",="(2.771)",="(2.788)",="(0.206)",="(0.206)",="(0.340)"
="Observations",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913"
="CountryFE",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No"
="AffiliationFE",="No",="No",="No",="No",="No",="No",="No",="No",="No",="Yes",="Yes",="Yes",="No",="No",="No"
="ResearcherFE",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="Yes",="Yes",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
