="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="",="",="(0.209)",="",="",="(0.204)",="",="",="(0.204)",="",="",="(0.101)",="",="",="(0.102)"
="pre_-3 # National Cancer Institute",="",="",="-0.049",="",="",="-0.050",="",="",="-0.050",="",="",="-0.050",="",="",="-0.049"
="",="",="",="(0.157)",="",="",="(0.153)",="",="",="(0.153)",="",="",="(0.064)",="",="",="(0.064)"
="pre_-3 # National Health and Medical Rese",="",="",="0.016",="",="",="0.013",="",="",="0.013",="",="",="0.014",="",="",="0.016"
="",="",="",="(0.187)",="",="",="(0.182)",="",="",="(0.182)",="",="",="(0.103)",="",="",="(0.106)"
="pre_-3 # Wellcome Trust",="",="",="-0.076",="",="",="-0.104",="",="",="-0.104",="",="",="-0.097",="",="",="-0.076"
="",="",="",="(0.318)",="",="",="(0.310)",="",="",="(0.310)",="",="",="(0.130)",="",="",="(0.125)"
="pre_-4 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-4 # INCa/INSERM/DGOS",="",="",="0.034",="",="",="0.036",="",="",="0.036",="",="",="0.035",="",="",="0.034"
="",="",="",="(0.209)",="",="",="(0.204)",="",="",="(0.204)",="",="",="(0.091)",="",="",="(0.090)"
="pre_-4 # National Cancer Institute",="",="",="0.013",="",="",="0.013",="",="",="0.013",="",="",="0.013",="",="",="0.013"
="",="",="",="(0.157)",="",="",="(0.153)",="",="",="(0.153)",="",="",="(0.061)",="",="",="(0.060)"
="pre_-4 # National Health and Medical Rese",="",="",="0.025",="",="",="0.023",="",="",="0.023",="",="",="0.024",="",="",="0.025"
="",="",="",="(0.187)",="",="",="(0.182)",="",="",="(0.182)",="",="",="(0.100)",="",="",="(0.100)"
="pre_-4 # Wellcome Trust",="",="",="-0.081",="",="",="-0.095",="",="",="-0.095",="",="",="-0.091",="",="",="-0.081"
="",="",="",="(0.318)",="",="",="(0.310)",="",="",="(0.310)",="",="",="(0.105)",="",="",="(0.104)"
="pre_-5 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # INCa/INSERM/DGOS",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # National Cancer Institute",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # National Health and Medical Rese",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # Wellcome Trust",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_0 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_0 # INCa/INSERM/DGOS",="",="",="0.117",="",="",="0.126",="",="",="0.126",="",="",="0.123",="",="",="0.117"
="",="",="",="(0.209)",="",="",="(0.204)",="",="",="(0.204)",="",="",="(0.141)",="",="",="(0.137)"
="pre_0 # National Cancer Institute",="",="",="-0.363**",="",="",="-0.363**",="",="",="-0.363**",="",="",="-0.363***",="",="",="-0.363***"
="",="",="",="(0.157)",="",="",="(0.153)",="",="",="(0.153)",="",="",="(0.095)",="",="",="(0.096)"
="pre_0 # National Health and Medical Rese",="",="",="0.012",="",="",="0.005",="",="",="0.005",="",="",="0.007",="",="",="0.012"
="",="",="",="(0.187)",="",="",="(0.182)",="",="",="(0.182)",="",="",="(0.129)",="",="",="(0.132)"
="pre_0 # Wellcome Trust",="",="",="0.057",="",="",="-0.013",="",="",="-0.013",="",="",="0.005",="",="",="0.057"
="",="",="",="(0.318)",="",="",="(0.310)",="",="",="(0.310)",="",="",="(0.192)",="",="",="(0.198)"
="rsr_career_age",="",="",="",="0.127***",="0.126***",="0.123***",="0.127***",="0.126***",="0.123***",="0.111***",="0.108***",="0.103***",="",="",=""
="",="",="",="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.004)",="(0.004)",="(0.004)",="",="",=""
="rsr_career_age_2",="",="",="",="-0.002***",="-0.002***",="-0.002***",="-0.002***",="-0.002***",="-0.002***",="-0.001***",="-0.001***",="-0.001***",="",="",=""
="",="",="",="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="",="",=""
="F",="",="",="",="-0.128***",="-0.127***",="-0.128***",="-0.128***",="-0.127***",="-0.128***",="-0.102*",="-0.101*",="-0.101*",="",="",=""
="",="",="",="",="(0.026)",="(0.026)",="(0.026)",="(0.026)",="(0.026)",="(0.026)",="(0.058)",="(0.058)",="(0.058)",="",="",=""
="M",="",="",="",="0.065***",="0.072***",="0.077***",="0.065***",="0.072***",="0.077***",="0.071",="0.083",="0.090",="",="",=""
="",="",="",="",="(0.024)",="(0.024)",="(0.024)",="(0.024)",="(0.024)",="(0.024)",="(0.057)",="(0.057)",="(0.057)",="",="",=""
="UNKNOWN",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",=""
="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",=""
="Constant",="1.778***",="1.778***",="1.345***",="0.613***",="0.629***",="0.425***",="0.613***",="0.629***",="0.425***",="0.482***",="0.506***",="0.293**",="1.607***",="1.607***",="1.256***"
="",="(0.046)",="(0.046)",="(0.107)",="(0.051)",="(0.051)",="(0.107)",="(0.051)",="(0.051)",="(0.107)",="(0.141)",="(0.141)",="(0.148)",="(0.010)",="(0.010)",="(0.018)"
="Observations",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913"
="CountryFE",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No"
="AffiliationFE",="No",="No",="No",="No",="No",="No",="No",="No",="No",="Yes",="Yes",="Yes",="No",="No",="No"
="ResearcherFE",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="Yes",="Yes",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
