rcdc_cso,rcdc,cso,pubs,agency
CONTRACEPTION/REPRODUCTION * 1. Biology,CONTRACEPTION/REPRODUCTION,1,159.1238095238095,National Cancer Institute
CARDIOVASCULAR * 1. Biology,CARDIOVASCULAR,1,261.3974206349206,National Cancer Institute
DENTAL/ORAL AND CRANIOFACIAL DISEASE * 1. Biology,DENTAL/ORAL AND CRANIOFACIAL DISEASE,1,166.75238095238092,National Cancer Institute
VACCINE RELATED * 3. Prevention,VACCINE RELATED,3,252.73887686387516,National Cancer Institute
PEDIATRIC CANCER * 2. Etiology,PEDIATRIC CANCER,2,91.1197621822622,National Cancer Institute
PEDIATRIC RESEARCH INITIATIVE * 2. Etiology,PEDIATRIC RESEARCH INITIATIVE,2,94.4051698301698,National Cancer Institute
OVARIAN CANCER * 2. Etiology,OVARIAN CANCER,2,401.5511363636342,National Cancer Institute
"NANOTECHNOLOGY * 4. Early Detection, Diagnosis",NANOTECHNOLOGY,4,771.6912809412848,National Cancer Institute
LIVER CANCER * 2. Etiology,LIVER CANCER,2,54.87586996337017,National Cancer Institute
NANOTECHNOLOGY * 5. Treatment,NANOTECHNOLOGY,5,770.2360112110149,National Cancer Institute
ESTROGEN * 5. Treatment,ESTROGEN,5,158.0521825396825,National Cancer Institute
"PEDIATRIC CANCER * 6. Cancer Control, Survivorship",PEDIATRIC CANCER,6,149.37566045066018,National Cancer Institute
HIV/AIDS * 1. Biology,HIV/AIDS,1,160.93492063492047,National Cancer Institute
"INFECTIOUS DISEASES * 4. Early Detection, Diagnosis",INFECTIOUS DISEASES,4,203.5550685425683,National Cancer Institute
NUTRITION * 5. Treatment,NUTRITION,5,250.6176587301584,National Cancer Institute
"PANCREATIC CANCER * 4. Early Detection, Diagnosis",PANCREATIC CANCER,4,177.2103174603173,National Cancer Institute
HUMAN GENOME * 5. Treatment,HUMAN GENOME,5,209.2293160543156,National Cancer Institute
"CARDIOVASCULAR * 4. Early Detection, Diagnosis",CARDIOVASCULAR,4,192.03689782439773,National Cancer Institute
AUTOIMMUNE DISEASE * 5. Treatment,AUTOIMMUNE DISEASE,5,137.54788961038955,National Cancer Institute
"LIVER CANCER * 4. Early Detection, Diagnosis",LIVER CANCER,4,46.071121933621995,National Cancer Institute
"CHRONIC LIVER DISEASE AND CIRRHOSIS * 4. Early Detection, Diagnosis",CHRONIC LIVER DISEASE AND CIRRHOSIS,4,35.63185425685428,National Cancer Institute
"DIABETES * 6. Cancer Control, Survivorship",DIABETES,6,174.44089105339097,National Cancer Institute
"OVARIAN CANCER * 6. Cancer Control, Survivorship",OVARIAN CANCER,6,93.00753968253977,National Cancer Institute
PEDIATRIC * 3. Prevention,PEDIATRIC,3,770.2868927368971,National Cancer Institute
"GENETIC TESTING * 4. Early Detection, Diagnosis",GENETIC TESTING,4,101.62982804232806,National Cancer Institute
"GENETICS * 6. Cancer Control, Survivorship",GENETICS,6,282.58953130203037,National Cancer Institute
"NEURODEGENERATIVE * 6. Cancer Control, Survivorship",NEURODEGENERATIVE,6,78.61136779886806,National Cancer Institute
"HIV/AIDS * 6. Cancer Control, Survivorship",HIV/AIDS,6,90.60768398268391,National Cancer Institute
CLIMATE-RELATED EXPOSURES AND CONDITIONS * 3. Prevention,CLIMATE-RELATED EXPOSURES AND CONDITIONS,3,141.3422619047619,National Cancer Institute
"LIVER DISEASE * 6. Cancer Control, Survivorship",LIVER DISEASE,6,52.201605339105434,National Cancer Institute
"AUTOIMMUNE DISEASE * 6. Cancer Control, Survivorship",AUTOIMMUNE DISEASE,6,56.14666305916314,National Cancer Institute
GENE THERAPY * 5. Treatment,GENE THERAPY,5,354.41145798645636,National Cancer Institute
"STEM CELL RESEARCH * 6. Cancer Control, Survivorship",STEM CELL RESEARCH,6,58.91055194805208,National Cancer Institute
DIABETES * 1. Biology,DIABETES,1,184.16213924963915,National Cancer Institute
"OVARIAN CANCER * 4. Early Detection, Diagnosis",OVARIAN CANCER,4,217.51765873015887,National Cancer Institute
AUTOIMMUNE DISEASE * 2. Etiology,AUTOIMMUNE DISEASE,2,116.70551948051977,National Cancer Institute
HIV/AIDS * 5. Treatment,HIV/AIDS,5,288.1899447774441,National Cancer Institute
"ORPHAN DRUG * 4. Early Detection, Diagnosis",ORPHAN DRUG,4,97.62333453583449,National Cancer Institute
BREAST CANCER * 3. Prevention,BREAST CANCER,3,299.3971001220991,National Cancer Institute
TRANSPLANTATION * 1. Biology,TRANSPLANTATION,1,116.29744977244994,National Cancer Institute
BIODEFENSE * 2. Etiology,BIODEFENSE,2,92.48304473304485,National Cancer Institute
"PEDIATRIC RESEARCH INITIATIVE * 4. Early Detection, Diagnosis",PEDIATRIC RESEARCH INITIATIVE,4,31.43380230880234,National Cancer Institute
HEART DISEASE * 5. Treatment,HEART DISEASE,5,62.03888888888898,National Cancer Institute
"BIOENGINEERING * 6. Cancer Control, Survivorship",BIOENGINEERING,6,133.8254148629149,National Cancer Institute
STEM CELL RESEARCH * 2. Etiology,STEM CELL RESEARCH,2,121.39965867465848,National Cancer Institute
LIVER CANCER * 1. Biology,LIVER CANCER,1,86.38504689754706,National Cancer Institute
CERVICAL CANCER * 5. Treatment,CERVICAL CANCER,5,45.52976190476193,National Cancer Institute
INFECTIOUS DISEASES * 3. Prevention,INFECTIOUS DISEASES,3,168.68480038479976,National Cancer Institute
CARDIOVASCULAR * 2. Etiology,CARDIOVASCULAR,2,262.99242424242334,National Cancer Institute
HEPATITIS - C * 2. Etiology,HEPATITIS - C,2,59.900133662634076,National Cancer Institute
"OBESITY * 6. Cancer Control, Survivorship",OBESITY,6,230.48733766233718,National Cancer Institute
"CHILDHOOD LEUKEMIA * 4. Early Detection, Diagnosis",CHILDHOOD LEUKEMIA,4,15.51509740259738,National Cancer Institute
PEDIATRIC RESEARCH INITIATIVE * 1. Biology,PEDIATRIC RESEARCH INITIATIVE,1,97.33100649350672,National Cancer Institute
"AUTOIMMUNE DISEASE * 4. Early Detection, Diagnosis",AUTOIMMUNE DISEASE,4,63.30615079365084,National Cancer Institute
"STEM CELL RESEARCH * 4. Early Detection, Diagnosis",STEM CELL RESEARCH,4,81.38578643578651,National Cancer Institute
ESTROGEN * 1. Biology,ESTROGEN,1,196.61964285714288,National Cancer Institute
"LYMPHOMA * 6. Cancer Control, Survivorship",LYMPHOMA,6,45.86309523809528,National Cancer Institute
PAIN CONDITIONS - CHRONIC * 5. Treatment,PAIN CONDITIONS - CHRONIC,5,39.66253607503608,National Cancer Institute
"SCHIZOPHRENIA * 6. Cancer Control, Survivorship",SCHIZOPHRENIA,6,9.726587301587296,National Cancer Institute
CHRONIC LIVER DISEASE AND CIRRHOSIS * 5. Treatment,CHRONIC LIVER DISEASE AND CIRRHOSIS,5,31.687714137714142,National Cancer Institute
"INJURY (TOTAL) ACCIDENTS/ADVERSE EFFECTS * 6. Cancer Control, Survivorship",INJURY (TOTAL) ACCIDENTS/ADVERSE EFFECTS,6,52.1913600288601,National Cancer Institute
GENETIC TESTING * 1. Biology,GENETIC TESTING,1,88.70508056758045,National Cancer Institute
EYE DISEASE AND DISORDERS OF VISION * 1. Biology,EYE DISEASE AND DISORDERS OF VISION,1,95.38039321789324,National Cancer Institute
OVARIAN CANCER * 1. Biology,OVARIAN CANCER,1,342.22281746031683,National Cancer Institute
ASTHMA * 2. Etiology,ASTHMA,2,36.55795454545453,National Cancer Institute
BIODEFENSE * 5. Treatment,BIODEFENSE,5,112.32999639249637,National Cancer Institute
SUBSTANCE ABUSE * 3. Prevention,SUBSTANCE ABUSE,3,782.4064213564302,National Cancer Institute
"NUTRITION * 4. Early Detection, Diagnosis",NUTRITION,4,44.721428571428596,National Cancer Institute
PANCREATIC CANCER * 2. Etiology,PANCREATIC CANCER,2,131.46926406926434,National Cancer Institute
"PANCREATIC CANCER * 6. Cancer Control, Survivorship",PANCREATIC CANCER,6,31.20734126984125,National Cancer Institute
OBESITY * 1. Biology,OBESITY,1,94.91626984126988,National Cancer Institute
CHRONIC LIVER DISEASE AND CIRRHOSIS * 1. Biology,CHRONIC LIVER DISEASE AND CIRRHOSIS,1,51.79081890331896,National Cancer Institute
INFLAMMATORY BOWEL DISEASE * 2. Etiology,INFLAMMATORY BOWEL DISEASE,2,38.02361111111114,National Cancer Institute
MENTAL HEALTH * 2. Etiology,MENTAL HEALTH,2,68.36329365079378,National Cancer Institute
COLO-RECTAL CANCER * 3. Prevention,COLO-RECTAL CANCER,3,251.8554334554329,National Cancer Institute
BRAIN CANCER * 2. Etiology,BRAIN CANCER,2,91.67872682872697,National Cancer Institute
HEPATITIS - B * 2. Etiology,HEPATITIS - B,2,36.497656510156595,National Cancer Institute
ORPHAN DRUG * 2. Etiology,ORPHAN DRUG,2,45.811165223665384,National Cancer Institute
EYE DISEASE AND DISORDERS OF VISION * 5. Treatment,EYE DISEASE AND DISORDERS OF VISION,5,39.36587301587301,National Cancer Institute
GENETICS * 3. Prevention,GENETICS,3,252.2101911976904,National Cancer Institute
DIABETES * 3. Prevention,DIABETES,3,137.06239177489164,National Cancer Institute
PROSTATE CANCER * 2. Etiology,PROSTATE CANCER,2,369.420382395379,National Cancer Institute
"BRAIN CANCER * 6. Cancer Control, Survivorship",BRAIN CANCER,6,33.78977272727273,National Cancer Institute
"VACCINE RELATED * 6. Cancer Control, Survivorship",VACCINE RELATED,6,54.29007936507944,National Cancer Institute
"PEDIATRIC RESEARCH INITIATIVE * 6. Cancer Control, Survivorship",PEDIATRIC RESEARCH INITIATIVE,6,102.32914169164171,National Cancer Institute
"NEURODEGENERATIVE * 4. Early Detection, Diagnosis",NEURODEGENERATIVE,4,61.79553085803098,National Cancer Institute
"REGENERATIVE MEDICINE * 6. Cancer Control, Survivorship",REGENERATIVE MEDICINE,6,46.854383116883184,National Cancer Institute
ORGAN TRANSPLANTATION * 5. Treatment,ORGAN TRANSPLANTATION,5,24.82025613275613,National Cancer Institute
HEART DISEASE * 1. Biology,HEART DISEASE,1,108.46369047619051,National Cancer Institute
CONTRACEPTION/REPRODUCTION * 5. Treatment,CONTRACEPTION/REPRODUCTION,5,16.031944444444445,National Cancer Institute
INFLAMMATORY BOWEL DISEASE * 1. Biology,INFLAMMATORY BOWEL DISEASE,1,47.079004329004405,National Cancer Institute
CHILDHOOD LEUKEMIA * 2. Etiology,CHILDHOOD LEUKEMIA,2,48.5496683871685,National Cancer Institute
"HEART DISEASE * 4. Early Detection, Diagnosis",HEART DISEASE,4,100.08213591963604,National Cancer Institute
NEUROBLASTOMA * 1. Biology,NEUROBLASTOMA,1,32.70045093795095,National Cancer Institute
"SEXUALLY TRANSMITTED DISEASES/HERPES * 4. Early Detection, Diagnosis",SEXUALLY TRANSMITTED DISEASES/HERPES,4,106.44503968253962,National Cancer Institute
MENTAL HEALTH * 1. Biology,MENTAL HEALTH,1,58.144744144744244,National Cancer Institute
CLIMATE-RELATED EXPOSURES AND CONDITIONS * 1. Biology,CLIMATE-RELATED EXPOSURES AND CONDITIONS,1,61.79642857142858,National Cancer Institute
"ASSISTIVE TECHNOLOGY * 6. Cancer Control, Survivorship",ASSISTIVE TECHNOLOGY,6,12.053571428571427,National Cancer Institute
TRANSPLANTATION * 2. Etiology,TRANSPLANTATION,2,33.05777417027418,National Cancer Institute
INTELLECTUAL AND DEVELOPMENTAL DISABILITIES (IDD) * 1. Biology,INTELLECTUAL AND DEVELOPMENTAL DISABILITIES (IDD),1,25.30742451992452,National Cancer Institute
CROHN'S DISEASE * 2. Etiology,CROHN'S DISEASE,2,21.117261904761893,National Cancer Institute
STEM CELL RESEARCH - EMBRYONIC - NON-HUMAN * 1. Biology,STEM CELL RESEARCH - EMBRYONIC - NON-HUMAN,1,129.16360028860043,National Cancer Institute
"STEM CELL RESEARCH - NONEMBRYONIC - HUMAN * 6. Cancer Control, Survivorship",STEM CELL RESEARCH - NONEMBRYONIC - HUMAN,6,22.291504329004336,National Cancer Institute
"CERVICAL CANCER * 6. Cancer Control, Survivorship",CERVICAL CANCER,6,118.78730158730144,National Cancer Institute
ARTHRITIS * 5. Treatment,ARTHRITIS,5,34.00833333333334,National Cancer Institute
LUPUS * 1. Biology,LUPUS,1,14.901803751803751,National Cancer Institute
INFLAMMATORY BOWEL DISEASE * 5. Treatment,INFLAMMATORY BOWEL DISEASE,5,11.819642857142856,National Cancer Institute
"UTERINE CANCER * 4. Early Detection, Diagnosis",UTERINE CANCER,4,24.48809523809524,National Cancer Institute
"ESTROGEN * 6. Cancer Control, Survivorship",ESTROGEN,6,94.26150793650795,National Cancer Institute
BIOTECHNOLOGY * 3. Prevention,BIOTECHNOLOGY,3,175.21551827801758,National Cancer Institute
"NEUROBLASTOMA * 4. Early Detection, Diagnosis",NEUROBLASTOMA,4,8.26590909090909,National Cancer Institute
"ORGAN TRANSPLANTATION * 6. Cancer Control, Survivorship",ORGAN TRANSPLANTATION,6,31.765097402597398,National Cancer Institute
"SMOKING AND HEALTH * 6. Cancer Control, Survivorship",SMOKING AND HEALTH,6,83.34975348725351,National Cancer Institute
"TOBACCO * 6. Cancer Control, Survivorship",TOBACCO,6,84.37058682058681,National Cancer Institute
"INFERTILITY * 6. Cancer Control, Survivorship",INFERTILITY,6,29.572619047619053,National Cancer Institute
"HIV/AIDS * 4. Early Detection, Diagnosis",HIV/AIDS,4,53.883928571428605,National Cancer Institute
LUNG * 3. Prevention,LUNG,3,186.32858946608897,National Cancer Institute
RARE DISEASES * 3. Prevention,RARE DISEASES,3,201.91658665408607,National Cancer Institute
"HEPATITIS * 4. Early Detection, Diagnosis",HEPATITIS,4,11.426659451659448,National Cancer Institute
"ACQUIRED COGNITIVE IMPAIRMENT * 6. Cancer Control, Survivorship",ACQUIRED COGNITIVE IMPAIRMENT,6,42.84158064158075,National Cancer Institute
"ARTHRITIS * 6. Cancer Control, Survivorship",ARTHRITIS,6,51.413492063492136,National Cancer Institute
BIOENGINEERING * 2. Etiology,BIOENGINEERING,2,44.611201298701296,National Cancer Institute
STEM CELL RESEARCH - NONEMBRYONIC - NON-HUMAN * 2. Etiology,STEM CELL RESEARCH - NONEMBRYONIC - NON-HUMAN,2,61.577201964702084,National Cancer Institute
UTERINE CANCER * 2. Etiology,UTERINE CANCER,2,143.96964285714282,National Cancer Institute
"TRANSPLANTATION * 4. Early Detection, Diagnosis",TRANSPLANTATION,4,40.42739898989903,National Cancer Institute
"OSTEOPOROSIS * 6. Cancer Control, Survivorship",OSTEOPOROSIS,6,47.168650793650826,National Cancer Institute
"LIVER CANCER * 6. Cancer Control, Survivorship",LIVER CANCER,6,20.833080808080812,National Cancer Institute
NEURODEGENERATIVE * 2. Etiology,NEURODEGENERATIVE,2,60.26019119769147,National Cancer Institute
HEPATITIS * 5. Treatment,HEPATITIS,5,18.50688801938801,National Cancer Institute
"EYE DISEASE AND DISORDERS OF VISION * 4. Early Detection, Diagnosis",EYE DISEASE AND DISORDERS OF VISION,4,48.55357142857143,National Cancer Institute
UROLOGIC DISEASES * 3. Prevention,UROLOGIC DISEASES,3,185.18174603174592,National Cancer Institute
"CONTRACEPTION/REPRODUCTION * 4. Early Detection, Diagnosis",CONTRACEPTION/REPRODUCTION,4,31.184523809523807,National Cancer Institute
CROHN'S DISEASE * 1. Biology,CROHN'S DISEASE,1,14.426028138528128,National Cancer Institute
"PERINATAL PERIOD - CONDITIONS ORIGINATING IN PERINATAL PERIOD * 6. Cancer Control, Survivorship",PERINATAL PERIOD - CONDITIONS ORIGINATING IN PERINATAL PERIOD,6,23.783501683501676,National Cancer Institute
ANTIMICROBIAL RESISTANCE * 5. Treatment,ANTIMICROBIAL RESISTANCE,5,154.6180666555666,National Cancer Institute
HEART DISEASE * 2. Etiology,HEART DISEASE,2,105.79101731601736,National Cancer Institute
"STEM CELL RESEARCH - NONEMBRYONIC - HUMAN * 4. Early Detection, Diagnosis",STEM CELL RESEARCH - NONEMBRYONIC - HUMAN,4,36.01949855699861,National Cancer Institute
"MULTIPLE SCLEROSIS * 6. Cancer Control, Survivorship",MULTIPLE SCLEROSIS,6,1.932936507936508,National Cancer Institute
"SUBSTANCE ABUSE * 6. Cancer Control, Survivorship",SUBSTANCE ABUSE,6,65.58306277056289,National Cancer Institute
HEART DISEASE * 3. Prevention,HEART DISEASE,3,72.40575396825405,National Cancer Institute
VECTOR-BORNE DISEASES * 2. Etiology,VECTOR-BORNE DISEASES,2,22.373015873015856,National Cancer Institute
NEUROBLASTOMA * 5. Treatment,NEUROBLASTOMA,5,57.03740287490302,National Cancer Institute
STEM CELL RESEARCH - NONEMBRYONIC - HUMAN * 2. Etiology,STEM CELL RESEARCH - NONEMBRYONIC - HUMAN,2,37.77684398934404,National Cancer Institute
SEXUALLY TRANSMITTED DISEASES/HERPES * 3. Prevention,SEXUALLY TRANSMITTED DISEASES/HERPES,3,74.36686507936521,National Cancer Institute
HPV AND/OR CERVICAL CANCER VACCINES * 3. Prevention,HPV AND/OR CERVICAL CANCER VACCINES,3,56.11329365079377,National Cancer Institute
NEUROFIBROMATOSIS * 1. Biology,NEUROFIBROMATOSIS,1,41.69101037851043,National Cancer Institute
PERINATAL PERIOD - CONDITIONS ORIGINATING IN PERINATAL PERIOD * 2. Etiology,PERINATAL PERIOD - CONDITIONS ORIGINATING IN PERINATAL PERIOD,2,83.10534511784519,National Cancer Institute
LUNG CANCER * 3. Prevention,LUNG CANCER,3,118.02501803751815,National Cancer Institute
CYSTIC FIBROSIS * 1. Biology,CYSTIC FIBROSIS,1,9.27142857142857,National Cancer Institute
EMERGING INFECTIOUS DISEASES * 3. Prevention,EMERGING INFECTIOUS DISEASES,3,27.98380832130836,National Cancer Institute
"ORPHAN DRUG * 6. Cancer Control, Survivorship",ORPHAN DRUG,6,20.735948773448783,National Cancer Institute
DIABETES * 5. Treatment,DIABETES,5,89.77182539682545,National Cancer Institute
"EMERGING INFECTIOUS DISEASES * 6. Cancer Control, Survivorship",EMERGING INFECTIOUS DISEASES,6,22.54801587301588,National Cancer Institute
ATHEROSCLEROSIS * 1. Biology,ATHEROSCLEROSIS,1,50.754761904761935,National Cancer Institute
REHABILITATION * 5. Treatment,REHABILITATION,5,12.334523809523807,National Cancer Institute
DEPRESSION * 2. Etiology,DEPRESSION,2,23.42487373737373,National Cancer Institute
ASTHMA * 1. Biology,ASTHMA,1,23.922619047619047,National Cancer Institute
"CHRONIC LIVER DISEASE AND CIRRHOSIS * 6. Cancer Control, Survivorship",CHRONIC LIVER DISEASE AND CIRRHOSIS,6,17.139303751803755,National Cancer Institute
"STEM CELL RESEARCH - NONEMBRYONIC - NON-HUMAN * 6. Cancer Control, Survivorship",STEM CELL RESEARCH - NONEMBRYONIC - NON-HUMAN,6,10.768109668109664,National Cancer Institute
PAIN RESEARCH * 1. Biology,PAIN RESEARCH,1,14.270057720057721,National Cancer Institute
"INJURY (TOTAL) ACCIDENTS/ADVERSE EFFECTS * 4. Early Detection, Diagnosis",INJURY (TOTAL) ACCIDENTS/ADVERSE EFFECTS,4,20.962301587301585,National Cancer Institute
UTERINE CANCER * 5. Treatment,UTERINE CANCER,5,21.546825396825394,National Cancer Institute
PAIN RESEARCH * 2. Etiology,PAIN RESEARCH,2,12.876028138528135,National Cancer Institute
INFERTILITY * 1. Biology,INFERTILITY,1,15.849999999999996,National Cancer Institute
SLEEP RESEARCH * 1. Biology,SLEEP RESEARCH,1,21.561904761904756,National Cancer Institute
ACQUIRED COGNITIVE IMPAIRMENT * 1. Biology,ACQUIRED COGNITIVE IMPAIRMENT,1,23.322954822954806,National Cancer Institute
"STROKE * 6. Cancer Control, Survivorship",STROKE,6,31.397222222222208,National Cancer Institute
AGENT ORANGE & DIOXIN * 2. Etiology,AGENT ORANGE & DIOXIN,2,9.82857142857143,National Cancer Institute
PNEUMONIA & INFLUENZA * 2. Etiology,PNEUMONIA & INFLUENZA,2,24.695256132756146,National Cancer Institute
"EMERGING INFECTIOUS DISEASES * 4. Early Detection, Diagnosis",EMERGING INFECTIOUS DISEASES,4,34.26181457431458,National Cancer Institute
"VACCINE RELATED * 4. Early Detection, Diagnosis",VACCINE RELATED,4,84.70995670995673,National Cancer Institute
SEXUALLY TRANSMITTED DISEASES/HERPES * 1. Biology,SEXUALLY TRANSMITTED DISEASES/HERPES,1,33.17997835497836,National Cancer Institute
STEM CELL RESEARCH - UMBILICAL CORD BLOOD/ PLACENTA * 5. Treatment,STEM CELL RESEARCH - UMBILICAL CORD BLOOD/ PLACENTA,5,20.55923937173936,National Cancer Institute
PAIN CONDITIONS - CHRONIC * 2. Etiology,PAIN CONDITIONS - CHRONIC,2,6.189123376623378,National Cancer Institute
"INFLAMMATORY BOWEL DISEASE * 4. Early Detection, Diagnosis",INFLAMMATORY BOWEL DISEASE,4,15.239484126984124,National Cancer Institute
LIVER DISEASE * 3. Prevention,LIVER DISEASE,3,40.09234006734011,National Cancer Institute
BRAIN DISORDERS * 3. Prevention,BRAIN DISORDERS,3,170.07502220002164,National Cancer Institute
HYPERTENSION * 5. Treatment,HYPERTENSION,5,9.633333333333336,National Cancer Institute
HPV AND/OR CERVICAL CANCER VACCINES * 2. Etiology,HPV AND/OR CERVICAL CANCER VACCINES,2,31.930393217893254,National Cancer Institute
"GENETIC TESTING * 6. Cancer Control, Survivorship",GENETIC TESTING,6,78.5525793650795,National Cancer Institute
"BIOTECHNOLOGY * 6. Cancer Control, Survivorship",BIOTECHNOLOGY,6,29.168272005772,National Cancer Institute
CROHN'S DISEASE * 5. Treatment,CROHN'S DISEASE,5,5.872023809523809,National Cancer Institute
"SERIOUS MENTAL ILLNESS * 6. Cancer Control, Survivorship",SERIOUS MENTAL ILLNESS,6,33.13118686868686,National Cancer Institute
"ESTROGEN * 4. Early Detection, Diagnosis",ESTROGEN,4,54.690079365079406,National Cancer Institute
"PERIPHERAL NEUROPATHY * 6. Cancer Control, Survivorship",PERIPHERAL NEUROPATHY,6,26.56544011544011,National Cancer Institute
"INFANT MORTALITY/ (LBW) * 6. Cancer Control, Survivorship",INFANT MORTALITY/ (LBW),6,17.33409692159691,National Cancer Institute
"SEPTICEMIA * 6. Cancer Control, Survivorship",SEPTICEMIA,6,5.8539682539682545,National Cancer Institute
INFLUENZA * 2. Etiology,INFLUENZA,2,16.623015873015856,National Cancer Institute
"PNEUMONIA & INFLUENZA * 6. Cancer Control, Survivorship",PNEUMONIA & INFLUENZA,6,9.106565656565657,National Cancer Institute
"SEXUALLY TRANSMITTED DISEASES/HERPES * 6. Cancer Control, Survivorship",SEXUALLY TRANSMITTED DISEASES/HERPES,6,38.97182539682546,National Cancer Institute
COST EFFECTIVENESS RESEARCH * 5. Treatment,COST EFFECTIVENESS RESEARCH,5,5.600000000000001,National Cancer Institute
CERVICAL CANCER * 3. Prevention,CERVICAL CANCER,3,54.31051587301597,National Cancer Institute
PERIPHERAL NEUROPATHY * 5. Treatment,PERIPHERAL NEUROPATHY,5,16.163383838383822,National Cancer Institute
DIGESTIVE DISEASES - (PEPTIC ULCER) * 2. Etiology,DIGESTIVE DISEASES - (PEPTIC ULCER),2,34.01646825396826,National Cancer Institute
ESTROGEN * 3. Prevention,ESTROGEN,3,72.98293650793659,National Cancer Institute
SEXUALLY TRANSMITTED DISEASES/HERPES * 5. Treatment,SEXUALLY TRANSMITTED DISEASES/HERPES,5,36.955627705627705,National Cancer Institute
"INFLAMMATORY BOWEL DISEASE * 6. Cancer Control, Survivorship",INFLAMMATORY BOWEL DISEASE,6,6.646230158730159,National Cancer Institute
REHABILITATION * 2. Etiology,REHABILITATION,2,25.16785714285717,National Cancer Institute
PNEUMONIA & INFLUENZA * 5. Treatment,PNEUMONIA & INFLUENZA,5,13.48353174603174,National Cancer Institute
"HEART DISEASE - CORONARY HEART DISEASE * 6. Cancer Control, Survivorship",HEART DISEASE - CORONARY HEART DISEASE,6,59.07646103896121,National Cancer Institute
EYE DISEASE AND DISORDERS OF VISION * 2. Etiology,EYE DISEASE AND DISORDERS OF VISION,2,18.431150793650783,National Cancer Institute
HYPERTENSION * 1. Biology,HYPERTENSION,1,17.366269841269848,National Cancer Institute
OBESITY * 5. Treatment,OBESITY,5,22.34285714285714,National Cancer Institute
DEMENTIA * 1. Biology,DEMENTIA,1,22.63565323565323,National Cancer Institute
"CHILDHOOD LEUKEMIA * 6. Cancer Control, Survivorship",CHILDHOOD LEUKEMIA,6,21.216287878787867,National Cancer Institute
"COST EFFECTIVENESS RESEARCH * 4. Early Detection, Diagnosis",COST EFFECTIVENESS RESEARCH,4,24.84642857142859,National Cancer Institute
PNEUMONIA & INFLUENZA * 3. Prevention,PNEUMONIA & INFLUENZA,3,7.581944444444442,National Cancer Institute
INFLUENZA * 3. Prevention,INFLUENZA,3,6.735515873015872,National Cancer Institute
REGENERATIVE MEDICINE * 2. Etiology,REGENERATIVE MEDICINE,2,28.283567821067862,National Cancer Institute
ALZHEIMER'S DISEASE INCLUDING ALZHEIMER'S DISEASE RELATED DEMENTIAS (AD/ADRD) * 1. Biology,ALZHEIMER'S DISEASE INCLUDING ALZHEIMER'S DISEASE RELATED DEMENTIAS (AD/ADRD),1,20.234823509823496,National Cancer Institute
MENTAL HEALTH * 3. Prevention,MENTAL HEALTH,3,117.51769480519488,National Cancer Institute
CONGENITAL STRUCTURAL ANOMALIES * 1. Biology,CONGENITAL STRUCTURAL ANOMALIES,1,34.048214285714266,National Cancer Institute
ARTHRITIS * 1. Biology,ARTHRITIS,1,34.132792207792214,National Cancer Institute
ACQUIRED COGNITIVE IMPAIRMENT * 5. Treatment,ACQUIRED COGNITIVE IMPAIRMENT,5,11.043226218226216,National Cancer Institute
HEMATOLOGY * 3. Prevention,HEMATOLOGY,3,22.492460317460324,National Cancer Institute
PROSTATE CANCER * 3. Prevention,PROSTATE CANCER,3,139.1853174603174,National Cancer Institute
HEPATITIS * 1. Biology,HEPATITIS,1,11.338852813852803,National Cancer Institute
"OBESITY * 4. Early Detection, Diagnosis",OBESITY,4,19.995238095238086,National Cancer Institute
HEPATITIS - C * 5. Treatment,HEPATITIS - C,5,10.46561817811818,National Cancer Institute
"HEPATITIS * 6. Cancer Control, Survivorship",HEPATITIS,6,16.904184704184708,National Cancer Institute
MUSCULAR DYSTROPHY * 1. Biology,MUSCULAR DYSTROPHY,1,4.418452380952381,National Cancer Institute
ORGAN TRANSPLANTATION * 1. Biology,ORGAN TRANSPLANTATION,1,8.159920634920635,National Cancer Institute
VECTOR-BORNE DISEASES * 5. Treatment,VECTOR-BORNE DISEASES,5,38.86349206349208,National Cancer Institute
"ENDOMETRIOSIS * 6. Cancer Control, Survivorship",ENDOMETRIOSIS,6,3.541666666666667,National Cancer Institute
STEM CELL RESEARCH - UMBILICAL CORD BLOOD/ PLACENTA - HUMAN * 5. Treatment,STEM CELL RESEARCH - UMBILICAL CORD BLOOD/ PLACENTA - HUMAN,5,15.600906038406016,National Cancer Institute
RURAL HEALTH * 2. Etiology,RURAL HEALTH,2,32.87400793650793,National Cancer Institute
"ALCOHOLISM, ALCOHOL USE AND HEALTH * 3. Prevention",ALCOHOLISM ALCOHOL USE AND HEALTH,3,89.7287878787879,National Cancer Institute
HIV/AIDS * 3. Prevention,HIV/AIDS,3,87.6925144300144,National Cancer Institute
"CROHN'S DISEASE * 4. Early Detection, Diagnosis",CROHN'S DISEASE,4,3.866666666666668,National Cancer Institute
STEM CELL RESEARCH - EMBRYONIC - HUMAN * 1. Biology,STEM CELL RESEARCH - EMBRYONIC - HUMAN,1,55.59621212121222,National Cancer Institute
"PERINATAL - BIRTH - PRETERM (LBW) * 6. Cancer Control, Survivorship",PERINATAL - BIRTH - PRETERM (LBW),6,11.135155122655117,National Cancer Institute
INTELLECTUAL AND DEVELOPMENTAL DISABILITIES (IDD) * 2. Etiology,INTELLECTUAL AND DEVELOPMENTAL DISABILITIES (IDD),2,15.392911255411255,National Cancer Institute
