funder_name,rcdc_name_1_grnt,rcdc_name_1_pub,weight
French National Cancer Institute,Urologic Diseases,Stem Cell Research,1
French National Cancer Institute,Urologic Diseases,Urologic Diseases,30
French National Cancer Institute,Vaccine Related,Aging,1
French National Cancer Institute,Vaccine Related,Cancer,2
French National Cancer Institute,Vaccine Related,Clinical Research,1
French National Cancer Institute,Vaccine Related,Emerging Infectious Diseases,1
French National Cancer Institute,Vaccine Related,Genetics,1
French National Cancer Institute,Vaccine Related,Prevention,1
French National Cancer Institute,Vaccine Related,Vaccine Related,1
French National Cancer Institute - ORCID Confirmed,Bioengineering,Cancer,1
French National Cancer Institute - ORCID Confirmed,Bioengineering,Colo-Rectal Cancer,1
French National Cancer Institute - ORCID Confirmed,Biotechnology,Bioengineering,1
French National Cancer Institute - ORCID Confirmed,Biotechnology,Biotechnology,3
French National Cancer Institute - ORCID Confirmed,Biotechnology,Breast Cancer,1
French National Cancer Institute - ORCID Confirmed,Biotechnology,Cancer,27
French National Cancer Institute - ORCID Confirmed,Biotechnology,Clinical Research,2
French National Cancer Institute - ORCID Confirmed,Biotechnology,Clinical Trials and Supportive Activities,1
French National Cancer Institute - ORCID Confirmed,Biotechnology,Genetics,17
French National Cancer Institute - ORCID Confirmed,Biotechnology,Hematology,2
French National Cancer Institute - ORCID Confirmed,Biotechnology,Immunization,4
French National Cancer Institute - ORCID Confirmed,Biotechnology,Lung,1
French National Cancer Institute - ORCID Confirmed,Biotechnology,Patient Safety,1
French National Cancer Institute - ORCID Confirmed,Biotechnology,Prostate Cancer,2
French National Cancer Institute - ORCID Confirmed,Biotechnology,Rare Diseases,3
French National Cancer Institute - ORCID Confirmed,Biotechnology,Stem Cell Research,1
French National Cancer Institute - ORCID Confirmed,Biotechnology,Vaccine Related,1
French National Cancer Institute - ORCID Confirmed,Cancer,Biotechnology,2
French National Cancer Institute - ORCID Confirmed,Cancer,Breast Cancer,4
French National Cancer Institute - ORCID Confirmed,Cancer,Cancer,45
French National Cancer Institute - ORCID Confirmed,Cancer,Clinical Research,4
French National Cancer Institute - ORCID Confirmed,Cancer,Clinical Trials and Supportive Activities,2
French National Cancer Institute - ORCID Confirmed,Cancer,Complementary and Alternative Medicine,2
French National Cancer Institute - ORCID Confirmed,Cancer,Dental/Oral and Craniofacial Disease,1
French National Cancer Institute - ORCID Confirmed,Cancer,Digestive Diseases,2
French National Cancer Institute - ORCID Confirmed,Cancer,Down Syndrome,1
French National Cancer Institute - ORCID Confirmed,Cancer,Emerging Infectious Diseases,3
French National Cancer Institute - ORCID Confirmed,Cancer,Genetics,8
French National Cancer Institute - ORCID Confirmed,Cancer,Hematology,6
French National Cancer Institute - ORCID Confirmed,Cancer,Immunization,4
French National Cancer Institute - ORCID Confirmed,Cancer,Lung,1
French National Cancer Institute - ORCID Confirmed,Cancer,Lung Cancer,1
French National Cancer Institute - ORCID Confirmed,Cancer,Neurosciences,1
French National Cancer Institute - ORCID Confirmed,Cancer,Orphan Drug,1
French National Cancer Institute - ORCID Confirmed,Cancer,Patient Safety,1
French National Cancer Institute - ORCID Confirmed,Cancer,Pediatric Cancer,1
French National Cancer Institute - ORCID Confirmed,Cancer,Prevention,3
French National Cancer Institute - ORCID Confirmed,Cancer,Prostate Cancer,1
French National Cancer Institute - ORCID Confirmed,Cancer,Rare Diseases,19
French National Cancer Institute - ORCID Confirmed,Cancer,Regenerative Medicine,1
French National Cancer Institute - ORCID Confirmed,Cancer,Smoking and Health,1
French National Cancer Institute - ORCID Confirmed,Cancer,Stem Cell Research,2
French National Cancer Institute - ORCID Confirmed,Cancer,Stem Cell Research - Nonembryonic - Human,1
French National Cancer Institute - ORCID Confirmed,Cancer,Vaccine Related,3
French National Cancer Institute - ORCID Confirmed,Childhood Leukemia,Biotechnology,2
French National Cancer Institute - ORCID Confirmed,Childhood Leukemia,Breast Cancer,1
French National Cancer Institute - ORCID Confirmed,Childhood Leukemia,Cancer,25
French National Cancer Institute - ORCID Confirmed,Childhood Leukemia,Childhood Leukemia,1
French National Cancer Institute - ORCID Confirmed,Childhood Leukemia,Clinical Research,2
French National Cancer Institute - ORCID Confirmed,Childhood Leukemia,Clinical Trials and Supportive Activities,1
French National Cancer Institute - ORCID Confirmed,Childhood Leukemia,Genetics,6
French National Cancer Institute - ORCID Confirmed,Childhood Leukemia,Human Genome,1
French National Cancer Institute - ORCID Confirmed,Childhood Leukemia,Immunization,4
French National Cancer Institute - ORCID Confirmed,Childhood Leukemia,Lymphoma,2
French National Cancer Institute - ORCID Confirmed,Childhood Leukemia,Orphan Drug,4
French National Cancer Institute - ORCID Confirmed,Childhood Leukemia,Patient Safety,1
French National Cancer Institute - ORCID Confirmed,Childhood Leukemia,Pediatric Research Initiative,1
French National Cancer Institute - ORCID Confirmed,Childhood Leukemia,Prostate Cancer,2
French National Cancer Institute - ORCID Confirmed,Childhood Leukemia,Rare Diseases,9
French National Cancer Institute - ORCID Confirmed,Childhood Leukemia,Regenerative Medicine,1
French National Cancer Institute - ORCID Confirmed,Childhood Leukemia,Stem Cell Research,2
French National Cancer Institute - ORCID Confirmed,Childhood Leukemia,Vaccine Related,1
French National Cancer Institute - ORCID Confirmed,Climate-Related Exposures and Conditions,Climate-Related Exposures and Conditions,1
French National Cancer Institute - ORCID Confirmed,Climate-Related Exposures and Conditions,Prevention,1
French National Cancer Institute - ORCID Confirmed,Colo-Rectal Cancer,Aging,1
French National Cancer Institute - ORCID Confirmed,Colo-Rectal Cancer,Autoimmune Disease,1
French National Cancer Institute - ORCID Confirmed,Colo-Rectal Cancer,Cancer,20
French National Cancer Institute - ORCID Confirmed,Colo-Rectal Cancer,Clinical Research,1
French National Cancer Institute - ORCID Confirmed,Colo-Rectal Cancer,Colo-Rectal Cancer,6
French National Cancer Institute - ORCID Confirmed,Colo-Rectal Cancer,Digestive Diseases,8
French National Cancer Institute - ORCID Confirmed,Colo-Rectal Cancer,Genetics,1
French National Cancer Institute - ORCID Confirmed,Colo-Rectal Cancer,HIV/AIDS,1
French National Cancer Institute - ORCID Confirmed,Colo-Rectal Cancer,Inflammatory Bowel Disease,1
French National Cancer Institute - ORCID Confirmed,Colo-Rectal Cancer,Lung,1
French National Cancer Institute - ORCID Confirmed,Colo-Rectal Cancer,Orphan Drug,1
French National Cancer Institute - ORCID Confirmed,Colo-Rectal Cancer,Pancreatic Cancer,1
French National Cancer Institute - ORCID Confirmed,Colo-Rectal Cancer,Prevention,1
French National Cancer Institute - ORCID Confirmed,Colo-Rectal Cancer,Rare Diseases,3
French National Cancer Institute - ORCID Confirmed,Colo-Rectal Cancer,Urologic Diseases,1
French National Cancer Institute - ORCID Confirmed,Comparative Effectiveness Research,Cancer,1
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Aging,3
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Bioengineering,3
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Brain Disorders,1
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Breast Cancer,4
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Cancer,44
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Clinical Research,28
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Clinical Trials and Supportive Activities,1
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Colo-Rectal Cancer,28
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Comparative Effectiveness Research,2
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Cost Effectiveness Research,2
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Diagnostic Radiology,2
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Digestive Diseases,19
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Drug Abuse (NIDA Only),2
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Genetic Testing,3
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Genetics,26
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Health Services,2
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Human Genome,3
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Liver Disease,3
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Lung,7
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Lung Cancer,3
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Lymphoma,1
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Parkinson's Disease,3
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Patient Safety,3
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Pediatric,1
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Prevention,10
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Rare Diseases,10
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Transplantation,3
French National Cancer Institute - ORCID Confirmed,Digestive Diseases,Urologic Diseases,1
French National Cancer Institute - ORCID Confirmed,Foodborne Illness,Cancer,1
French National Cancer Institute - ORCID Confirmed,Genetics,Aging,1
French National Cancer Institute - ORCID Confirmed,Genetics,Bioengineering,1
French National Cancer Institute - ORCID Confirmed,Genetics,Biotechnology,3
French National Cancer Institute - ORCID Confirmed,Genetics,Brain Disorders,2
French National Cancer Institute - ORCID Confirmed,Genetics,Breast Cancer,3
French National Cancer Institute - ORCID Confirmed,Genetics,Cancer,51
French National Cancer Institute - ORCID Confirmed,Genetics,Cervical Cancer,1
French National Cancer Institute - ORCID Confirmed,Genetics,Childhood Leukemia,2
French National Cancer Institute - ORCID Confirmed,Genetics,Clinical Research,4
French National Cancer Institute - ORCID Confirmed,Genetics,Clinical Trials and Supportive Activities,1
French National Cancer Institute - ORCID Confirmed,Genetics,Colo-Rectal Cancer,1
French National Cancer Institute - ORCID Confirmed,Genetics,Dental/Oral and Craniofacial Disease,3
French National Cancer Institute - ORCID Confirmed,Genetics,Diagnostic Radiology,1
French National Cancer Institute - ORCID Confirmed,Genetics,Digestive Diseases,3
French National Cancer Institute - ORCID Confirmed,Genetics,Genetics,20
French National Cancer Institute - ORCID Confirmed,Genetics,Hematology,11
French National Cancer Institute - ORCID Confirmed,Genetics,Human Genome,1
French National Cancer Institute - ORCID Confirmed,Genetics,Lymphoma,13
French National Cancer Institute - ORCID Confirmed,Genetics,Obesity,1
French National Cancer Institute - ORCID Confirmed,Genetics,Orphan Drug,1
French National Cancer Institute - ORCID Confirmed,Genetics,Patient Safety,1
French National Cancer Institute - ORCID Confirmed,Genetics,Pediatric,1
French National Cancer Institute - ORCID Confirmed,Genetics,Pediatric Cancer,1
French National Cancer Institute - ORCID Confirmed,Genetics,Prevention,2
French National Cancer Institute - ORCID Confirmed,Genetics,Prostate Cancer,2
French National Cancer Institute - ORCID Confirmed,Genetics,Rare Diseases,21
French National Cancer Institute - ORCID Confirmed,Genetics,Regenerative Medicine,2
French National Cancer Institute - ORCID Confirmed,Genetics,Stem Cell Research,2
French National Cancer Institute - ORCID Confirmed,Genetics,Stem Cell Research - Nonembryonic - Human,5
French National Cancer Institute - ORCID Confirmed,Genetics,Transplantation,3
French National Cancer Institute - ORCID Confirmed,Genetics,Vaccine Related,1
French National Cancer Institute - ORCID Confirmed,Human Genome,Digestive Diseases,1
French National Cancer Institute - ORCID Confirmed,Human Genome,Genetic Testing,1
French National Cancer Institute - ORCID Confirmed,Human Genome,Genetics,5
French National Cancer Institute - ORCID Confirmed,Human Genome,Pediatric,1
French National Cancer Institute - ORCID Confirmed,Human Genome,Rare Diseases,1
French National Cancer Institute - ORCID Confirmed,Immunization,Cancer,3
French National Cancer Institute - ORCID Confirmed,Immunization,Emerging Infectious Diseases,1
French National Cancer Institute - ORCID Confirmed,Liver Cancer,Biotechnology,2
French National Cancer Institute - ORCID Confirmed,Liver Cancer,Cancer,3
French National Cancer Institute - ORCID Confirmed,Liver Cancer,Chronic Liver Disease and Cirrhosis,2
French National Cancer Institute - ORCID Confirmed,Liver Cancer,Digestive Diseases,1
French National Cancer Institute - ORCID Confirmed,Liver Cancer,Emerging Infectious Diseases,1
French National Cancer Institute - ORCID Confirmed,Liver Cancer,Hepatitis,4
French National Cancer Institute - ORCID Confirmed,Liver Cancer,Hepatitis - C,2
French National Cancer Institute - ORCID Confirmed,Liver Cancer,Infectious Diseases,1
French National Cancer Institute - ORCID Confirmed,Liver Cancer,Liver Cancer,1
French National Cancer Institute - ORCID Confirmed,Liver Cancer,Liver Disease,2
French National Cancer Institute - ORCID Confirmed,Liver Cancer,Osteoporosis,1
French National Cancer Institute - ORCID Confirmed,Liver Cancer,Rare Diseases,3
French National Cancer Institute - ORCID Confirmed,Liver Disease,Cancer,1
French National Cancer Institute - ORCID Confirmed,Liver Disease,Diabetes,1
French National Cancer Institute - ORCID Confirmed,Liver Disease,Nutrition,1
French National Cancer Institute - ORCID Confirmed,Nutrition,Aging,2
French National Cancer Institute - ORCID Confirmed,Nutrition,Basic Behavioral and Social Science,2
French National Cancer Institute - ORCID Confirmed,Nutrition,Breast Cancer,2
French National Cancer Institute - ORCID Confirmed,Nutrition,Cancer,10
French National Cancer Institute - ORCID Confirmed,Nutrition,Clinical Research,2
French National Cancer Institute - ORCID Confirmed,Nutrition,Colo-Rectal Cancer,1
French National Cancer Institute - ORCID Confirmed,Nutrition,Lung,1
French National Cancer Institute - ORCID Confirmed,Nutrition,Pediatric,1
French National Cancer Institute - ORCID Confirmed,Nutrition,Prevention,8
French National Cancer Institute - ORCID Confirmed,Nutrition,Prostate Cancer,2
French National Cancer Institute - ORCID Confirmed,Nutrition,Rare Diseases,1
French National Cancer Institute - ORCID Confirmed,Nutrition,Urologic Diseases,2
French National Cancer Institute - ORCID Confirmed,Patient Safety,Clinical Research,1
French National Cancer Institute - ORCID Confirmed,Patient Safety,Patient Safety,1
French National Cancer Institute - ORCID Confirmed,Patient Safety,Rare Diseases,1
French National Cancer Institute - ORCID Confirmed,Prevention,Aging,6
French National Cancer Institute - ORCID Confirmed,Prevention,Basic Behavioral and Social Science,3
French National Cancer Institute - ORCID Confirmed,Prevention,Breast Cancer,3
French National Cancer Institute - ORCID Confirmed,Prevention,Cancer,38
French National Cancer Institute - ORCID Confirmed,Prevention,Clinical Research,1
French National Cancer Institute - ORCID Confirmed,Prevention,Clinical Trials and Supportive Activities,3
French National Cancer Institute - ORCID Confirmed,Prevention,Colo-Rectal Cancer,4
French National Cancer Institute - ORCID Confirmed,Prevention,Cost Effectiveness Research,2
French National Cancer Institute - ORCID Confirmed,Prevention,Digestive Diseases,2
French National Cancer Institute - ORCID Confirmed,Prevention,Genetics,1
French National Cancer Institute - ORCID Confirmed,Prevention,Patient Safety,2
French National Cancer Institute - ORCID Confirmed,Prevention,Pediatric,2
French National Cancer Institute - ORCID Confirmed,Prevention,Prevention,11
French National Cancer Institute - ORCID Confirmed,Prevention,Prostate Cancer,1
French National Cancer Institute - ORCID Confirmed,Prevention,Rare Diseases,7
French National Cancer Institute - ORCID Confirmed,Prevention,Urologic Diseases,7
French National Cancer Institute - ORCID Confirmed,Prostate Cancer,Aging,7
French National Cancer Institute - ORCID Confirmed,Prostate Cancer,Basic Behavioral and Social Science,1
French National Cancer Institute - ORCID Confirmed,Prostate Cancer,Brain Disorders,1
French National Cancer Institute - ORCID Confirmed,Prostate Cancer,Breast Cancer,1
French National Cancer Institute - ORCID Confirmed,Prostate Cancer,Cancer,28
French National Cancer Institute - ORCID Confirmed,Prostate Cancer,Clinical Research,4
French National Cancer Institute - ORCID Confirmed,Prostate Cancer,Clinical Trials and Supportive Activities,2
French National Cancer Institute - ORCID Confirmed,Prostate Cancer,Cost Effectiveness Research,1
French National Cancer Institute - ORCID Confirmed,Prostate Cancer,Digestive Diseases,3
French National Cancer Institute - ORCID Confirmed,Prostate Cancer,Health Services,1
French National Cancer Institute - ORCID Confirmed,Prostate Cancer,Lymphoma,1
French National Cancer Institute - ORCID Confirmed,Prostate Cancer,Perinatal Period - Conditions Originating in Perinatal Period,1
French National Cancer Institute - ORCID Confirmed,Prostate Cancer,Prevention,4
French National Cancer Institute - ORCID Confirmed,Prostate Cancer,Prostate Cancer,1
French National Cancer Institute - ORCID Confirmed,Prostate Cancer,Rare Diseases,2
French National Cancer Institute - ORCID Confirmed,Prostate Cancer,Urologic Diseases,3
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Aging,1
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Basic Behavioral and Social Science,1
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Biotechnology,6
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Brain Disorders,1
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Breast Cancer,2
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Cancer,102
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Childhood Leukemia,1
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Clinical Research,10
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Clinical Trials and Supportive Activities,4
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Colo-Rectal Cancer,8
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Complementary and Alternative Medicine,1
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Dental/Oral and Craniofacial Disease,2
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Diabetes,1
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Diagnostic Radiology,2
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Digestive Diseases,9
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Emerging Infectious Diseases,2
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Genetics,42
French National Cancer Institute - ORCID Confirmed,Rare Diseases,HIV/AIDS,1
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Hematology,25
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Hepatitis - C,1
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Human Genome,8
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Immunization,4
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Inflammatory Bowel Disease,1
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Lung,5
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Lung Cancer,1
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Lymphoma,24
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Neurosciences,1
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Orphan Drug,8
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Pain Conditions - Chronic,1
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Patient Safety,2
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Pediatric,5
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Pediatric Cancer,3
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Prevention,13
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Prostate Cancer,1
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Rare Diseases,70
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Regenerative Medicine,3
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Stem Cell Research,10
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Stem Cell Research - Embryonic - Non-Human,1
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Stem Cell Research - Nonembryonic - Human,2
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Stem Cell Research - Nonembryonic - Non-Human,5
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Transplantation,4
French National Cancer Institute - ORCID Confirmed,Rare Diseases,Urologic Diseases,2
French National Cancer Institute - ORCID Confirmed,Stem Cell Research,Biotechnology,3
French National Cancer Institute - ORCID Confirmed,Stem Cell Research,Breast Cancer,1
French National Cancer Institute - ORCID Confirmed,Stem Cell Research,Cancer,16
French National Cancer Institute - ORCID Confirmed,Stem Cell Research,Clinical Research,10
French National Cancer Institute - ORCID Confirmed,Stem Cell Research,Clinical Trials and Supportive Activities,4
French National Cancer Institute - ORCID Confirmed,Stem Cell Research,Colo-Rectal Cancer,3
French National Cancer Institute - ORCID Confirmed,Stem Cell Research,Comparative Effectiveness Research,1
French National Cancer Institute - ORCID Confirmed,Stem Cell Research,Digestive Diseases,7
French National Cancer Institute - ORCID Confirmed,Stem Cell Research,Genetics,3
French National Cancer Institute - ORCID Confirmed,Stem Cell Research,Orphan Drug,1
French National Cancer Institute - ORCID Confirmed,Stem Cell Research,Prevention,1
French National Cancer Institute - ORCID Confirmed,Stem Cell Research,Rare Diseases,5
French National Cancer Institute - ORCID Confirmed,Stem Cell Research,Stem Cell Research - Nonembryonic - Non-Human,1
French National Cancer Institute - ORCID Confirmed,Urologic Diseases,Urologic Diseases,1
National Cancer Institute,Acquired Cognitive Impairment,Acquired Cognitive Impairment,2
National Cancer Institute,Acquired Cognitive Impairment,Basic Behavioral and Social Science,1
National Cancer Institute,Acquired Cognitive Impairment,Behavioral and Social Science,4
National Cancer Institute,Acquired Cognitive Impairment,Brain Disorders,4
National Cancer Institute,Acquired Cognitive Impairment,Breast Cancer,4
National Cancer Institute,Acquired Cognitive Impairment,Cancer,17
National Cancer Institute,Acquired Cognitive Impairment,Cardiovascular,1
National Cancer Institute,Acquired Cognitive Impairment,Clinical Research,5
National Cancer Institute,Acquired Cognitive Impairment,Clinical Trials and Supportive Activities,1
National Cancer Institute,Acquired Cognitive Impairment,Contraception/Reproduction,1
National Cancer Institute,Acquired Cognitive Impairment,Dementia,2
National Cancer Institute,Acquired Cognitive Impairment,Depression,3
National Cancer Institute,Acquired Cognitive Impairment,Diagnostic Radiology,1
National Cancer Institute,Acquired Cognitive Impairment,Digestive Diseases,1
National Cancer Institute,Acquired Cognitive Impairment,Genetics,1
National Cancer Institute,Acquired Cognitive Impairment,Health Services,1
National Cancer Institute,Acquired Cognitive Impairment,Lung,2
National Cancer Institute,Acquired Cognitive Impairment,Mental Health,2
National Cancer Institute,Acquired Cognitive Impairment,Mind and Body,1
National Cancer Institute,Acquired Cognitive Impairment,Neurodegenerative,1
National Cancer Institute,Acquired Cognitive Impairment,Neurosciences,8
National Cancer Institute,Acquired Cognitive Impairment,Patient Safety,1
National Cancer Institute,Acquired Cognitive Impairment,Pediatric,1
National Cancer Institute,Acquired Cognitive Impairment,Post-Traumatic Stress Disorder (PTSD),1
National Cancer Institute,Acquired Cognitive Impairment,Rehabilitation,1
National Cancer Institute,Acquired Cognitive Impairment,Smoking and Health,1
National Cancer Institute,Aging,Infectious Diseases,1
National Cancer Institute,Alzheimer's Disease,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1
National Cancer Institute,Alzheimer's Disease,Biotechnology,3
National Cancer Institute,Alzheimer's Disease,Cancer,5
National Cancer Institute,Alzheimer's Disease,Dementia,2
National Cancer Institute,Alzheimer's Disease,Genetics,2
National Cancer Institute,Alzheimer's Disease,HIV/AIDS,2
National Cancer Institute,Alzheimer's Disease,Human Genome,1
National Cancer Institute,Alzheimer's Disease,Infectious Diseases,2
National Cancer Institute,American Indians / Alaska Natives,Aging,18
National Cancer Institute,American Indians / Alaska Natives,American Indians / Alaska Natives,19
National Cancer Institute,American Indians / Alaska Natives,Arctic,7
National Cancer Institute,American Indians / Alaska Natives,Atherosclerosis,1
National Cancer Institute,American Indians / Alaska Natives,Basic Behavioral and Social Science,15
National Cancer Institute,American Indians / Alaska Natives,Behavioral and Social Science,22
National Cancer Institute,American Indians / Alaska Natives,Bioengineering,5
National Cancer Institute,American Indians / Alaska Natives,Biotechnology,7
National Cancer Institute,American Indians / Alaska Natives,Brain Disorders,2
National Cancer Institute,American Indians / Alaska Natives,Breast Cancer,3
National Cancer Institute,American Indians / Alaska Natives,Cancer,119
National Cancer Institute,American Indians / Alaska Natives,Cardiovascular,3
National Cancer Institute,American Indians / Alaska Natives,Clinical Research,65
National Cancer Institute,American Indians / Alaska Natives,Clinical Trials and Supportive Activities,8
National Cancer Institute,American Indians / Alaska Natives,Colo-Rectal Cancer,12
National Cancer Institute,American Indians / Alaska Natives,Complementary and Alternative Medicine,2
National Cancer Institute,American Indians / Alaska Natives,Cost Effectiveness Research,1
National Cancer Institute,American Indians / Alaska Natives,Diabetes,8
National Cancer Institute,American Indians / Alaska Natives,Diagnostic Radiology,2
National Cancer Institute,American Indians / Alaska Natives,Digestive Diseases,23
National Cancer Institute,American Indians / Alaska Natives,Digestive Diseases - (Peptic Ulcer),1
National Cancer Institute,American Indians / Alaska Natives,Drug Abuse (NIDA Only),1
National Cancer Institute,American Indians / Alaska Natives,Estrogen,2
National Cancer Institute,American Indians / Alaska Natives,Genetic Testing,1
National Cancer Institute,American Indians / Alaska Natives,Genetics,36
National Cancer Institute,American Indians / Alaska Natives,HIV/AIDS,2
National Cancer Institute,American Indians / Alaska Natives,Health Services,33
National Cancer Institute,American Indians / Alaska Natives,Heart Disease,4
National Cancer Institute,American Indians / Alaska Natives,Hematology,2
National Cancer Institute,American Indians / Alaska Natives,Human Genome,4
National Cancer Institute,American Indians / Alaska Natives,Infectious Diseases,3
National Cancer Institute,American Indians / Alaska Natives,Inflammatory Bowel Disease,1
National Cancer Institute,American Indians / Alaska Natives,Lung,4
National Cancer Institute,American Indians / Alaska Natives,Lung Cancer,6
National Cancer Institute,American Indians / Alaska Natives,Mental Health,4
National Cancer Institute,American Indians / Alaska Natives,Mind and Body,4
National Cancer Institute,American Indians / Alaska Natives,Nanotechnology,2
National Cancer Institute,American Indians / Alaska Natives,Neurosciences,2
National Cancer Institute,American Indians / Alaska Natives,Nutrition,15
National Cancer Institute,American Indians / Alaska Natives,Obesity,8
National Cancer Institute,American Indians / Alaska Natives,Orphan Drug,5
National Cancer Institute,American Indians / Alaska Natives,Osteoporosis,1
National Cancer Institute,American Indians / Alaska Natives,Ovarian Cancer,1
National Cancer Institute,American Indians / Alaska Natives,Pain Conditions - Chronic,4
National Cancer Institute,American Indians / Alaska Natives,Pain Research,4
National Cancer Institute,American Indians / Alaska Natives,Pancreatic Cancer,2
National Cancer Institute,American Indians / Alaska Natives,Patient Safety,7
National Cancer Institute,American Indians / Alaska Natives,Pediatric,8
National Cancer Institute,American Indians / Alaska Natives,Pediatric AIDS,1
National Cancer Institute,American Indians / Alaska Natives,Pediatric Research Initiative,2
National Cancer Institute,American Indians / Alaska Natives,Prevention,47
National Cancer Institute,American Indians / Alaska Natives,Prostate Cancer,3
National Cancer Institute,American Indians / Alaska Natives,Rare Diseases,13
National Cancer Institute,American Indians / Alaska Natives,Rehabilitation,2
National Cancer Institute,American Indians / Alaska Natives,Rural Health,24
National Cancer Institute,American Indians / Alaska Natives,Sexual and Gender Minorities (SGM/LGBT*),1
National Cancer Institute,American Indians / Alaska Natives,Smoking and Health,32
National Cancer Institute,American Indians / Alaska Natives,Stem Cell Research,1
National Cancer Institute,American Indians / Alaska Natives,Substance Abuse,11
National Cancer Institute,American Indians / Alaska Natives,Suicide Prevention,1
National Cancer Institute,American Indians / Alaska Natives,Tobacco,12
National Cancer Institute,American Indians / Alaska Natives,Urologic Diseases,3
National Cancer Institute,American Indians / Alaska Natives,Violence Research,1
National Cancer Institute,Anorexia,Aging,2
National Cancer Institute,Anorexia,Anorexia,1
National Cancer Institute,Anorexia,Basic Behavioral and Social Science,1
National Cancer Institute,Anorexia,Behavioral and Social Science,3
National Cancer Institute,Anorexia,Breast Cancer,1
National Cancer Institute,Anorexia,Cancer,25
National Cancer Institute,Anorexia,Clinical Research,10
National Cancer Institute,Anorexia,Clinical Trials and Supportive Activities,6
National Cancer Institute,Anorexia,Colo-Rectal Cancer,1
National Cancer Institute,Anorexia,Dental/Oral and Craniofacial Disease,2
National Cancer Institute,Anorexia,Digestive Diseases,1
National Cancer Institute,Anorexia,Estrogen,1
National Cancer Institute,Anorexia,Health Services,2
